Unnamed: 0,gastric cancer,PMC-hits
tumour suppressor candidate 7 (TUSC7),0.20258937450513687,40
MYLK-AS1,0.20113459606115627,2
AP001439.2,0.199471575372153,2
INTS7,0.19834268523346604,8
DQ192290,0.1973805649770147,0
LEIGC,0.1972010723486657,28
DB077273,0.19572223938150093,5
GAPLINC,0.1956708813033747,104
MALAT2,0.1951337078708997,12
AI364715,0.19458084060498307,7
AK057054,0.19407304826931326,0
M14574,0.1934550313605096,0
HIV1230,0.1929969132664328,0
AC138128.1,0.19294508196931565,10
RP11-119F7.4,0.19276249650173544,9
FRLnc1,0.1926685989635883,6
AA174084,0.19216710742083906,28
BC011663,0.19180742518734484,0
MALAT2-activated long noncoding RNA,0.19168760944415325,9
AP001631.9,0.19131035384571435,0
BC032469,0.1907604829078008,38
AC130710,0.19062830767221636,27
AK058003,0.19011606428254535,31
M59227,0.18998485103940632,0
XLOC_010235,0.18929946796766936,5
RP11-528G1.2,0.18845040517684075,2
DKFZP434K028,0.1878434188091204,3
PRSS21,0.1875937862230116,15
AC104699.1,0.18739759558643584,7
CACNAICAS3,0.1873361363436944,0
uc.341,0.1869646609356596,0
EGFLAM-AS1,0.1864912914097563,1
AK022971,0.18638374926534204,0
LOC150622,0.18619042511411085,0
ABHD11-AS1,0.18612518629629948,23
RP11-643M14.1,0.18607666579211066,1
AKR7L,0.1859929533676612,3
FER1L4,0.1852776088882817,76
SUMO1P3,0.18491951518006708,37
AK022798,0.1846670453032144,15
uc003tfx,0.18440897460408845,0
nc886,0.18428030839594214,27
LINC00982,0.1838949362754453,11
RP11-789C1.1,0.183561256347998,3
TSNAX-DISC1,0.18347640223208875,7
uc003iqu,0.18260973143073814,0
MRUL,0.1805639378083044,40
FENDRR,0.18036206607212196,107
ZMAT1,0.1798384086507432,14
BM742401,0.1790862349593298,20
GHET1,0.17561244025063694,66
LncRNA-AP001631.9,0.17083309332306698,1
linc-UBC1,0.1662394927771932,49
GS1-5L10.1,0.165775530478435,1
RPL34-AS1,0.16498554704868812,3
HOXA-AS2,0.1589020139572334,59
ncRuPAR,0.15641648998612856,18
TINCR,0.15417094282374075,127
HIF1A-AS2,0.15092384718762414,36
HMlincRNA717,0.1484001624795529,31
LINC00261,0.13809960638819074,47
PTENP1,0.13766041976195645,248
BC040587,0.13595611980071282,12
HNF1A-AS1,0.13577859624819216,109
CCAT2,0.13484644265172682,233
LINC00152,0.13270954080638328,208
PRNCR1,0.13133018158576934,84
LSINCT5,0.13061941547444586,52
SNHG15,0.12792432842296408,26
7SK,0.12607708751371108,90
SPRY4-IT1,0.12421265680345205,253
MINA,0.12399016793332218,319
linc-ROR,0.12366692830904798,109
lncRNA-ATB,0.11566755202527795,181
uc001lsz,0.11362513440015855,10
lncRNA-LET,0.11311873946934405,74
PEG10,0.11292588313457087,91
UCA1,0.1128657025290754,602
BACE1AS,0.11267654280064028,11
WT1-AS,0.11263947617816768,83
SOX2OT-S2,0.11126855438481016,24
FOXCUT,0.11125047977289647,16
PlncRNA-1,0.11109277960287292,58
XLOC_000303,0.1110120309366654,2
lincRNA-ZNF532,0.10966510181885417,0
linc-POU3F3,0.10874032404109857,42
PPP3CB,0.10859844788642398,33
ESCCAL-1,0.10788749862547857,3
LOC100287225,0.10764449951671036,4
Epist,0.1073562247439111,17
C13orf25,0.10671134627517036,139
CCAT6,0.10642576731145216,4
LNC00964-3,0.10597976013926193,2
CCAL,0.10587123154077538,43
HULC,0.10492005274951542,562
ZEB2NAT,0.10481362810485499,32
BANCR,0.10480413052476144,176
AK123657,0.10464833055768566,4
PRAS,0.10424921030889783,38
DDX6P,0.10344062035052456,1
