Unnamed: 0,hepatocellular cancer,PMC-hits
BC014579,0.2882982265025775,1
EGFR-AS1,0.2874215505180841,8
P24363,0.2873525819578033,0
linc-VLDLR,0.2855372721292491,35
URHC,0.2829169610160285,35
LOC149086,0.2827088101872802,18
ULK4P2,0.2826582134526609,2
D16366,0.2826263804620651,2
RP11-501G6.1,0.2826232931165432,718
lincRNA-TSPAN8,0.2824806066424365,38
CR613944,0.2824592680605923,0
P14695,0.2813597512876312,0
ENST00000395084,0.2813479461668082,3
BC017743,0.2805895962144361,6
P28210,0.2801844112547308,0
AY129027,0.28007794757977944,2
lncRNA-LALR1,0.2800554315480948,15
uc002pyc,0.2799156483234202,1
PCNA-AS1,0.27958297349461136,32
TUC339,0.2795731339171878,85
TCONS_00018278,0.279262748266961,2
NR_024284,0.2788520956438896,4
AOC4P,0.2788208991598698,32
P8725,0.27790748198483484,1
AK021443,0.2775822216247442,3
lncRNA-Hpvt1,0.27752770134809845,13
P23099,0.2774832585782197,0
RP5-1014O16.1,0.2774010112451765,65
P9745,0.2771747779303978,0
RP11-401P9.4,0.2769066502178097,5
uc004bdv.3,0.2764971859176551,1
NR_026591,0.27606148336602965,3
P6391,0.2759632027750741,0
uc003yqb.1,0.2755177488101184,3
CTB-167B5.2,0.2750884225191949,1
SRHC,0.27435121641725463,12
P8611,0.2741594841866964,0
P33863,0.2740201949961927,0
P19780,0.27363334676194695,0
PRAL,0.2735934086933325,26
lincRNA-CALCA,0.27331528284949946,7
LINC00974,0.2732414258759982,34
NCRNA00173,0.27303234390975284,3
ENST00000501583,0.2724189936657082,2
ICR,0.27238901574862484,1992
UFC1,0.2723443660229302,76
RP11-160H22.5,0.2720878631532089,19
AK093543,0.2719222819451776,2
P16984,0.2716552054551296,0
AK056988,0.27151719041470346,3
NR_015378,0.2712733382395163,4
P8860,0.2711579577010101,0
LINC01419,0.27113602081362964,9
lncTCF7,0.2708251080565657,92
lnc-AF085935,0.27060220812402275,2
DBH-AS1,0.2703785596749501,27
RP11-304L19.5,0.2701490100428716,718
lncRNA-Dreh,0.26995485724275925,38
lnc-uc003wbd,0.2697981497686168,2
AF070632,0.2697144091268636,3
SIRT1-AS,0.2695812524877332,2
C14orf132,0.2693958543229636,6
TCF7,0.269163063029547,266
AK123790,0.2690986233559408,1
MT1DP,0.26849237552746064,33
AK055007,0.26848386209686503,2
P4091,0.2684321199799318,0
P700,0.26841665503305945,9
RP11-672F9.1,0.26695792805339924,1
XLOC_014172,0.2663237231639643,17
HOXA13,0.2648574474358828,271
P6488,0.2644061718535948,0
uc001ncr,0.26368069797947113,6
NR_027151,0.2628023799322154,3
uc002mbe.2,0.2602101552425941,14
DQ786243,0.2447371161847121,17
HEIH,0.2400580679430868,102
DANCR,0.2308968599709787,116
PANDAR,0.2255220681547106,82
SNHG3,0.22039042200054101,25
WT1-AS,0.22039000778271595,126
WRAP53,0.21963035033157385,74
ZFAS1,0.21928209352121933,158
PTENP1,0.21810942948352305,330
IGF2-AS,0.21721569936566668,96
LINC00152,0.215425888494037,195
ZEB1-AS1,0.2127786256488269,72
MVIH,0.211623099512214,98
SOX2OT,0.21129876636871853,97
HOTTIP,0.20054449333327368,399
uc001lsz,0.19975557228053184,8
lncRNA-ATB,0.19400739302196787,225
linc-ROR,0.18451869951285824,155
TERC,0.1827959190035217,817
HULC,0.17617016690683066,834
lncRNA-LET,0.17424726397136467,89
KCNQ1DN,0.16727739400684102,10
CDKN2B-AS4,0.16539910334627927,0
MIR7-3HG,0.16274326863212096,3
ENST00000480739,0.15957024680957024,26
