Unnamed: 0,testicular cancer,PMC-hits
HESRG,0.022593578554079462,4
BOK-AS1,0.02146066623005133,2
CDKN2B-AS3,0.021375441518547592,0
TDRG1,0.02137489345404053,7
ESRG,0.02119789975627595,0
NLC1-C,0.021154000386795508,12
BOKAS,0.018364743998203915,3
CBR3-AS1,0.014962879668536369,2
Yiya,0.014600868460997996,1
CDKN2B-AS1,0.014051411149203788,13
CDKN2B-AS2,0.013832694418836413,0
TARID,0.013292342590538221,2
CDKN2B-AS4,0.01300994400321762,1
RRP1B,0.012991685644633544,4
PCAT1,0.012907059001872915,4
FOXCUT,0.012829268570706423,0
ENST00000435885.1,0.01268196300629991,0
KRAS1P,0.012610693427592584,2804
CTC-338M12.2,0.01259490656781257,0
SOX2OT-S2,0.012213280950352231,2
rP11-174G17.2,0.011820358146683163,118
lincRNA-uc002yug.2,0.01180428093402257,0
LINC00661,0.011743001878785948,0
CTD-3185P2.2,0.011673131084192856,0
ENST00000547963.1,0.011632353439383946,0
EPB41L4A-AS1,0.011592966574277663,1
SOX2OT-S1,0.011507779488176674,2
TC0101686,0.011502316935880984,1
AC009133.15,0.011454775302407336,0
AC026166.2-001,0.011430599210498212,0
XLOC_013014,0.01132716629213928,0
TUG1,0.011230878855472085,17
TC0101441,0.011216038316984108,1
Llme23,0.011146402633434659,1
CDKN2B-AS5,0.01113509093780758,1
MAP3K14,0.011094028489213162,14
TC0100223,0.01100096624324806,1
CDKN2B-AS11,0.010933369714145151,0
Epist,0.010810019772878408,1
ESCCAL-1,0.010707618737311408,0
CDKN2B-AS10,0.010529050879209642,0
XLOC_000371,0.01052466777201606,0
rP11-473M20.16,0.01048052140245503,0
rP11-264L1.3,0.010441963625361888,118
linc-POU3F3,0.01041039236636398,1
AC003665.1,0.010280242128097566,0
SNHG3,0.010216795541657287,1
LOC285194,0.01021140348106094,8
ZEB1-AS1,0.010134982437490885,1
HI-LNC25,0.010093534912760998,1
AC005532.5,0.009964685494071077,0
rP11-193H5.1,0.009919038470561959,118
CDKN2B-AS8,0.009778865406735336,0
AC093642.3,0.009771611994226551,0
MKRN3-AS1,0.009760548006083338,0
PlncRNA-1,0.009742097434210836,6
PANDAR,0.009731713602107984,6
AB209630,0.009707344167786014,2
LINC00319,0.009618826734946387,1
SOX2OT,0.009564692977993424,6
rP11-33N16.3,0.009377326451105956,0
rP11-469M7.1,0.009311138141196156,118
rP11-67A1.2,0.009276753336579577,0
NOP14-AS1,0.009250111546223044,0
MIAT,0.009238417666709927,9
HNF1A-AS1,0.009102555786536246,1
AC093734.14,0.009081975588667723,0
HCP5,0.009012198707560398,5
7SK,0.00890773802876894,31
ESCCAL-5,0.008891363161064427,0
C15orf2,0.00877752025692937,2
AC010729.1,0.008750494781479856,0
PDZRN3-AS1,0.008741811845260789,0
RP11-169D4.1-001,0.008718514585401075,0
CTD-2540L5.5,0.008689339916579891,158
rP11-229P13.25,0.008658232544794383,118
AB019562,0.00855580827547932,2
AP000783.2,0.008503402895791587,0
ATP6V1G2-DDX39B,0.008420187072044347,0
AFAP1-AS1,0.00839386875362075,5
HTTAS_v1,0.008387637963981495,0
AF011889.4,0.00837025185119576,0
XLOC_003286,0.008355403845651137,0
AL389956,0.008256312564361334,0
HAR1A,0.008247773716360898,0
UCA1,0.008245654947281942,34
rP11-119K6.6,0.008236188594132837,118
lnc-ZNF180-2,0.008182181333021244,1
LINC00032,0.00817251686956136,0
RP11-909N17.3,0.008149309998905202,0
TC1500845,0.00813510268046015,0
UBE3A-ATS,0.008120184852489944,5
rP11-511P7.2,0.00810450218262415,0
SNHG4,0.008090187881257989,0
TNXA,0.008085991794295668,4
rP11-21A7A.3,0.00808176344615185,118
hsa-mir-519a-2,0.008070615777050118,0
SPTY2D1-AS1,0.008025178318850365,0
116HG,0.008019042837058753,2
EMX2OS,0.0080136476504387,1
