Unnamed: 0,atherosclerosis,pubmed-hits
CDKN2B-AS11,0.011359200032484355,0
CDKN2B-AS10,0.0107623877117214,0
CDKN2B-AS2,0.010714051187901363,0
RP5-833A20.1,0.010552888945374709,2
SNHG11,0.01002426868466192,0
Llme23,0.009840223184108291,0
lncRNA-BGL3,0.009728414546676134,0
CDKN2B-AS1,0.009676849732274702,7
BDNF-AS1,0.009567279717523618,0
TC0101441,0.009415265128857151,0
TARID,0.00938617066147694,8
CDKN2B-AS8,0.009318800318221713,0
CDKN2B-AS3,0.009238261960924444,0
HI-LNC25,0.00897073900352278,0
LINC00032,0.008951637862194394,0
PCAT1,0.008697182256474159,0
Neat1,0.008634135865754504,4
CBR3-AS1,0.008505170552671951,0
BC200,0.008497514060403671,0
ENST00000455912,0.008308743359142548,0
IGF2-AS,0.00828674292969207,0
uc.283-plus,0.008246409209276205,0
ESRG,0.00821655575608167,0
NR_027775,0.008156940583588528,0
Yiya,0.008133706207793379,0
NR_015430,0.008124759256267357,0
MEG3,0.008075810433448979,3
NR_033449,0.008063576814033536,0
uc003jfz.2,0.008057328986185303,0
ENST00000456185,0.00804354685195358,0
CDKN2B-AS5,0.008035709906024091,0
IPW,0.008028286010536788,2
ESCCAL-1,0.007973658651916847,0
ESCCAL-5,0.007906337090681526,0
MESTIT1,0.007899732097937158,0
KCNQ1DN,0.007879512072001866,0
CDKN2B-AS4,0.007849412106669156,0
ENST00000318333,0.007848121643800679,0
MKRN3-AS1,0.007819217820689008,0
ENST00000422362,0.0077725260022320644,0
NR_003586,0.007724252143249545,0
WT1-AS,0.007677335311133483,0
TC0101686,0.007654227395650326,0
RP11-169D4.1-001,0.007647765296821585,0
KRAS1P,0.007615671887943999,66
PDZRN3-AS1,0.007603913559045897,0
ENST00000456007,0.007603132560092086,0
AC026166.2-001,0.007588904694120839,0
ENST00000547963.1,0.007567081861862681,0
116HG,0.007563766941246138,0
lnc-KCTD6-3,0.007536313837019077,0
UCA1,0.007463319749286382,2
TSLC1-AS1,0.007460533868034655,0
ENST00000374520,0.007451047503168222,0
PEG10,0.007435210960397084,0
lnc-LCE5A-1,0.007431662792491289,0
FOXCUT,0.007403219506101327,0
NR_033663,0.007324387091623608,0
CDKN2B-AS7,0.007317967029271172,0
RRP1B,0.007306403898295211,0
BANCR,0.007295274636016071,1
C15orf2,0.007286677402259574,0
lincRNA-uc002yug.2,0.00725564785975364,0
PTENP1,0.007138297793164462,0
SPRY4-IT1,0.0071258011088702455,0
TI13831,0.0071174758353506375,0
EPB41L4A-AS1,0.007107401714629568,0
linc-POU3F3,0.0070942344375888484,0
ST7OT1,0.007078820240401003,0
BALR-6,0.007052276863171941,0
Epist,0.006986956973620884,1288
ASK00420,0.006962213385042706,0
BOK-AS1,0.006933081478295943,0
wingless-type MMTV integration site family member 4 (WNT4),0.006906061392017006,0
SOX2OT-S1,0.0068889492402557494,0
ENST00000435885.1,0.006880905068576294,0
AB209630,0.0068756125966501465,0
XLOC_013014,0.0068629046384815285,0
MIAT,0.006852070078144829,5
BALR-2,0.00684652132018874,0
APTR,0.006807126774994892,1
LOC100287482,0.006786371286163174,0
BOKAS,0.006781126164918628,0
BCYRN1,0.006772527869040625,0
SOX2OT-S2,0.006763371151248304,0
TC0100223,0.0067598459900972884,0
LOC285194,0.0067499583195859926,0
T-ALL-R-LncR1,0.006730458777625259,1
miR-21,0.006727463247770681,71
UBE3A-AS1,0.006725367479469988,0
LINC00271,0.006723357127576079,0
PlncRNA-1,0.0066971090578127595,0
anti-NOS2A,0.006670076474042196,0
WRAP53,0.006640257677582873,0
rP11-181E10.3,0.006625607487179079,0
H19,0.00660677466326899,9
LALR,0.006564743406889193,0
ZEB1-AS1,0.006556182507779108,0
TI18318,0.006511395535198332,0
TI09485,0.00649545232954939,0
